schema_version,source_type,profile,timestamp_ms,interval_ms,cell_id,cell_area_km2,cell_available,total_prbs,available_prbs,neighbor_load_ratio,embb_active_ues,embb_offered_dl_mbps,embb_min_dl_mbps_per_ue,embb_max_dl_mbps_per_ue,embb_reliability_target,embb_spectral_eff_bps_hz,urllc_active_ues,urllc_packets,urllc_payload_bytes,urllc_deadline_intervals,urllc_reliability_target,urllc_spectral_eff_bps_hz,iot_registered_devices,iot_active_devices,iot_density_per_km2,iot_payload_bytes,iot_reporting_period_ms,iot_min_rate_kbps_per_device,iot_reliability_target,iot_spectral_eff_bps_hz,hard_floor_prbs_embb,hard_floor_prbs_urllc,hard_floor_prbs_iot
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-000,0.083333,1,273,273,0.43057,16,238.5059,100.0,500.0,0.99000,4.52153,6,11,32,1,0.99999,2.11378,83333,79,1000000.00,256,10000,0.2048,0.99900,0.57210,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-001,0.083333,1,273,273,0.55795,16,371.5053,100.0,500.0,0.99000,1.44765,2,4,32,1,0.99999,1.06590,83333,79,1000000.00,256,10000,0.2048,0.99900,0.60674,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-002,0.083333,1,273,273,0.35279,16,677.9514,100.0,500.0,0.99000,4.26675,2,3,32,1,0.99999,1.77498,83333,82,1000000.00,256,10000,0.2048,0.99900,0.43034,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-003,0.083333,1,273,273,0.64010,19,312.2643,100.0,500.0,0.99000,3.53028,4,7,32,1,0.99999,1.47710,83333,89,1000000.00,256,10000,0.2048,0.99900,0.54769,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-004,0.083333,1,273,273,0.46554,25,553.6400,100.0,500.0,0.99000,4.02387,3,6,32,1,0.99999,1.30823,83333,81,1000000.00,256,10000,0.2048,0.99900,0.49920,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-005,0.083333,1,273,273,0.35212,8,90.2053,100.0,500.0,0.99000,2.61676,1,2,32,1,0.99999,1.66663,83333,65,1000000.00,256,10000,0.2048,0.99900,0.45030,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-006,0.083333,1,273,273,0.52489,14,416.8069,100.0,500.0,0.99000,2.36320,4,7,32,1,0.99999,1.91514,83333,92,1000000.00,256,10000,0.2048,0.99900,0.28335,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-007,0.083333,1,273,273,0.45968,17,787.7644,100.0,500.0,0.99000,3.32841,4,8,32,1,0.99999,1.46376,83333,93,1000000.00,256,10000,0.2048,0.99900,0.52949,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-008,0.083333,1,273,273,0.81447,17,625.3646,100.0,500.0,0.99000,3.41607,4,8,32,1,0.99999,1.47568,83333,84,1000000.00,256,10000,0.2048,0.99900,0.49654,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-009,0.083333,1,273,273,0.86069,16,508.8023,100.0,500.0,0.99000,4.25851,3,5,32,1,0.99999,1.71698,83333,91,1000000.00,256,10000,0.2048,0.99900,0.60482,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-010,0.083333,1,273,273,0.37776,17,574.5656,100.0,500.0,0.99000,2.42835,5,9,32,1,0.99999,1.66467,83333,70,1000000.00,256,10000,0.2048,0.99900,0.68531,150,81,42
1.0,synthetic,P1_balanced_busy_hour,0,10,cell-011,0.083333,1,273,273,0.63850,17,734.4677,100.0,500.0,0.99000,5.08281,4,7,32,1,0.99999,1.76814,83333,92,1000000.00,256,10000,0.2048,0.99900,0.60252,150,81,42
1.0,synthetic,P1_balanced_busy_hour,10,10,cell-000,0.083333,1,273,273,0.73053,15,462.5628,100.0,500.0,0.99000,3.99980,1,2,32,1,0.99999,1.71827,83333,82,1000000.00,256,10000,0.2048,0.99900,0.45540,150,81,42
1.0,synthetic,P1_balanced_busy_hour,10,10,cell-001,0.083333,1,273,273,0.47297,24,558.2960,100.0,500.0,0.99000,3.09250,3,5,32,1,0.99999,1.93567,83333,79,1000000.00,256,10000,0.2048,0.99900,0.43913,150,81,42
1.0,synthetic,P1_balanced_busy_hour,10,10,cell-002,0.083333,1,273,273,0.78798,18,1139.2230,100.0,500.0,0.99000,4.08126,4,7,32,1,0.99999,2.10283,83333,76,1000000.00,256,10000,0.2048,0.99900,0.74461,150,81,42
1.0,synthetic,P1_balanced_busy_hour,10,10,cell-003,0.083333,1,273,273,0.24659,17,360.1675,100.0,500.0,0.99000,4.45155,3,6,32,1,0.99999,2.17943,83333,86,1000000.00,256,10000,0.2048,0.99900,0.55261,150,81,42
